ACC,Localization
WP_092054959.1,Cytoplasmic
WP_092054962.1,Cytoplasmic
WP_092054965.1,Cytoplasmic
WP_092054970.1,Cytoplasmic
WP_092054973.1,Periplasmic
WP_092054976.1,Cytoplasmic Membrane
WP_092054979.1,Cytoplasmic
WP_092054982.1,Cytoplasmic Membrane
WP_092054984.1,Cytoplasmic
WP_092054987.1,Cytoplasmic
WP_092054991.1,Cytoplasmic
WP_092054994.1,Cytoplasmic
WP_092054996.1,Cytoplasmic
WP_092055001.1,Cytoplasmic
WP_092055003.1,Cytoplasmic
WP_092055007.1,Cytoplasmic
WP_092055010.1,Cytoplasmic Membrane
WP_092055014.1,Cytoplasmic Membrane
WP_092055018.1,Cytoplasmic Membrane
WP_092055020.1,Cytoplasmic Membrane
WP_092055024.1,Cytoplasmic Membrane
WP_092055026.1,Cytoplasmic Membrane
WP_092055029.1,Cytoplasmic Membrane
WP_092055032.1,Cytoplasmic Membrane
WP_092055036.1,Cytoplasmic Membrane
WP_092055040.1,Cytoplasmic
WP_092055041.1,Cytoplasmic Membrane
WP_092055047.1,Cytoplasmic Membrane
WP_092055050.1,Cytoplasmic
WP_092055052.1,Cytoplasmic
WP_092055056.1,Cytoplasmic
WP_092055057.1,Cytoplasmic
WP_092055072.1,Cytoplasmic
WP_092055084.1,Cytoplasmic
WP_092055094.1,Cytoplasmic
WP_092055096.1,Cytoplasmic
WP_092055101.1,Extracellular
WP_092055109.1,Cytoplasmic Membrane
WP_092055112.1,Cytoplasmic Membrane
WP_092055114.1,Cytoplasmic
WP_092055117.1,Cytoplasmic Membrane
WP_092055122.1,Cytoplasmic Membrane
WP_092055124.1,Cytoplasmic Membrane
WP_092055127.1,Cytoplasmic
WP_092055130.1,Cytoplasmic
WP_092055135.1,Periplasmic
WP_092055139.1,Cytoplasmic Membrane
WP_092055142.1,Cytoplasmic Membrane
WP_092055146.1,Cytoplasmic
WP_092055147.1,Cytoplasmic
WP_092055150.1,Extracellular
WP_092055151.1,Cytoplasmic
WP_092055153.1,Cytoplasmic Membrane
WP_092055158.1,Cytoplasmic
WP_092055167.1,Periplasmic
WP_092055174.1,Periplasmic
WP_092055178.1,Periplasmic
WP_092055181.1,Outer Membrane
WP_092055183.1,Outer Membrane
WP_092055188.1,Outer Membrane
WP_092055190.1,Outer Membrane
WP_092055198.1,Extracellular
WP_092055201.1,Extracellular
WP_092055209.1,Outer Membrane
WP_092055220.1,Cytoplasmic
WP_092055223.1,Cytoplasmic
WP_092055226.1,Cytoplasmic
WP_092055229.1,Cytoplasmic
WP_092055232.1,Cytoplasmic
WP_092055235.1,Cytoplasmic
WP_092055239.1,Cytoplasmic
WP_092055242.1,Cytoplasmic
WP_092055244.1,Cytoplasmic
WP_092055247.1,Cytoplasmic
WP_092055250.1,Cytoplasmic
WP_092055253.1,Cytoplasmic
WP_092055257.1,Cytoplasmic
WP_092055260.1,Cytoplasmic
WP_092055265.1,Cytoplasmic
WP_092055269.1,Cytoplasmic Membrane
WP_092055273.1,Cytoplasmic
WP_092055276.1,Cytoplasmic
WP_092055281.1,Cytoplasmic Membrane
WP_092055284.1,Cytoplasmic
WP_092055288.1,Cytoplasmic
WP_092055292.1,Cytoplasmic
WP_092055296.1,Cytoplasmic Membrane
WP_092055303.1,Extracellular
WP_092055307.1,Periplasmic
WP_092055312.1,Cytoplasmic
WP_092055315.1,Cytoplasmic
WP_092055318.1,Cytoplasmic Membrane
WP_092055325.1,Cytoplasmic
WP_092055330.1,Cytoplasmic
WP_092055334.1,Cytoplasmic
WP_092055337.1,Cytoplasmic
WP_092055339.1,Cytoplasmic
WP_092055349.1,Cytoplasmic
WP_092055353.1,Cytoplasmic
WP_092055356.1,Cytoplasmic
WP_092055361.1,Cytoplasmic
WP_092055363.1,Extracellular
WP_092055370.1,Periplasmic
WP_092055374.1,Cytoplasmic
WP_092055380.1,Cytoplasmic Membrane
WP_092055383.1,Cytoplasmic Membrane
WP_092055386.1,Periplasmic
WP_092055391.1,Cytoplasmic Membrane
WP_092055394.1,Cytoplasmic Membrane
WP_092055398.1,Cytoplasmic
WP_092055401.1,Cytoplasmic Membrane
WP_092055405.1,Cytoplasmic
WP_092055409.1,Cytoplasmic
WP_092055412.1,Cytoplasmic
WP_092055416.1,Cytoplasmic
WP_092055419.1,Cytoplasmic
WP_092055422.1,Cytoplasmic
WP_092055426.1,Cytoplasmic
WP_092055429.1,Cytoplasmic
WP_092055433.1,Cytoplasmic
WP_092055438.1,Cytoplasmic
WP_092055442.1,Cytoplasmic
WP_092055447.1,Cytoplasmic Membrane
WP_092055451.1,Periplasmic
WP_092055455.1,Periplasmic
WP_092055459.1,Extracellular
WP_092055464.1,Cytoplasmic
WP_092055466.1,Cytoplasmic
WP_092055468.1,Cytoplasmic
WP_092055472.1,Cytoplasmic
WP_092055484.1,Extracellular
WP_092055487.1,Cytoplasmic
WP_092055491.1,Outer Membrane
WP_092055495.1,Cytoplasmic Membrane
WP_092055500.1,Cytoplasmic Membrane
WP_092055503.1,Cytoplasmic Membrane
WP_092055508.1,Cytoplasmic
WP_092055512.1,Cytoplasmic Membrane
WP_092055515.1,Cytoplasmic Membrane
WP_092055518.1,Cytoplasmic Membrane
WP_092055522.1,Cytoplasmic Membrane
WP_092055525.1,Cytoplasmic Membrane
WP_092055528.1,Cytoplasmic
WP_092055531.1,Cytoplasmic
WP_092055534.1,Cytoplasmic
WP_092055537.1,Cytoplasmic Membrane
WP_092055542.1,Periplasmic
WP_092055545.1,Periplasmic
WP_092055549.1,Periplasmic
WP_092055554.1,Outer Membrane
WP_092055557.1,Periplasmic
WP_092055559.1,Periplasmic
WP_092055562.1,Cytoplasmic Membrane
WP_092055565.1,Cytoplasmic
WP_092055569.1,Cytoplasmic
WP_092055573.1,Cytoplasmic
WP_092055576.1,Cytoplasmic
WP_092055581.1,Periplasmic
WP_092055584.1,Cytoplasmic Membrane
WP_092055586.1,Cytoplasmic Membrane
WP_092055590.1,Cytoplasmic
WP_092055592.1,Cytoplasmic
WP_092055595.1,Cytoplasmic Membrane
WP_092055598.1,Cytoplasmic Membrane
WP_092055603.1,Cytoplasmic Membrane
WP_092055605.1,Outer Membrane
WP_092055608.1,Cytoplasmic Membrane
WP_092055611.1,Cytoplasmic
WP_092055615.1,Cytoplasmic
WP_092055619.1,Cytoplasmic
WP_092055622.1,Cytoplasmic
WP_092055624.1,Cytoplasmic Membrane
WP_092055626.1,Extracellular
WP_092055628.1,Cytoplasmic Membrane
WP_092055635.1,Cytoplasmic
WP_092055639.1,Cytoplasmic
WP_092055643.1,Cytoplasmic
WP_092055646.1,Cytoplasmic
WP_092055655.1,Cytoplasmic
WP_092055658.1,Cytoplasmic
WP_092055664.1,Cytoplasmic
WP_092055667.1,Cytoplasmic
WP_092055670.1,Cytoplasmic
WP_092055673.1,Cytoplasmic
WP_092055677.1,Outer Membrane
WP_092055679.1,Cytoplasmic Membrane
WP_092055681.1,Cytoplasmic
WP_092055685.1,Cytoplasmic Membrane
WP_092055689.1,Periplasmic
WP_092055692.1,Periplasmic
WP_092055695.1,Periplasmic
WP_092055698.1,Cytoplasmic
WP_092055700.1,Cytoplasmic Membrane
WP_092055703.1,Cytoplasmic
WP_092055706.1,Outer Membrane
WP_092055711.1,Cytoplasmic
WP_092055714.1,Cytoplasmic Membrane
WP_092055717.1,Cytoplasmic
WP_092055720.1,Cytoplasmic
WP_092055723.1,Cytoplasmic
WP_092055726.1,Cytoplasmic Membrane
WP_092055728.1,Cytoplasmic
WP_092055730.1,Cytoplasmic
WP_092055733.1,Cytoplasmic
WP_092055737.1,Cytoplasmic Membrane
WP_092055739.1,Cytoplasmic Membrane
WP_092055743.1,Cytoplasmic
WP_092055746.1,Cytoplasmic
WP_092055749.1,Cytoplasmic
WP_092055752.1,Cytoplasmic Membrane
WP_092055754.1,Cytoplasmic
WP_092055757.1,Cytoplasmic
WP_092055759.1,Cytoplasmic Membrane
WP_092055762.1,Cytoplasmic Membrane
WP_092055764.1,Cytoplasmic
WP_092055766.1,Cytoplasmic Membrane
